video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city,data_collection_engine
7665823355194363167,2026-07-23T16:30:08,47,US,746,9,127,58600,"@Josh Groban on authentically sharing the process, catch more on In The Mix with Jack Coyne, presented by @T-Mobile ",True,,tiktok,TikTok,94900000,0,462000000,1481,4164,True,,,,dom
7665790476829609246,2026-07-23T14:22:26,47,US,987,33,162,40800,"maybe all TikTok comments are meant to be sung by @Josh Groban. tap into In the Mix with Jack Coyne, presented by @T-Mobile ",True,,tiktok,TikTok,94900000,0,462000000,1481,4164,True,,,,dom
7665760124878802207,2026-07-23T12:24:45,2111,US,962,25,132,33100,"why do all moms love @Josh Groban? find out on In the Mix with Jack Coyne, presented by @T-Mobile ",True,,tiktok,TikTok,94900000,0,462000000,1481,4164,True,,,,dom
7665098256803810591,2026-07-21T17:36:16,93,US,3645,227,1120,210100,"from ""who IS this team?"" to knowing their entire story by halftime 🏆 a global sleepover, played out across your For You Page @Rachel DeMita caught up with creators at the TikTok Clubhouse to talk about everything we watched, shared and won't stop quoting ⚽ @Tim @Caden Davis @Joe Felix @Chari @Frank Michael Smith ",False,,tiktok,TikTok,94900000,0,462000000,1481,4164,True,,,,dom
7664308035648638238,2026-07-19T14:29:51,62,US,6499,562,957,373700,football history meets timeless fashion when you’re inside @Classic Football Shirts ⚽ who made the best case?,False,,tiktok,TikTok,94900000,0,462000000,1481,4164,True,,,,dom
7664238499188591902,2026-07-19T10:00:21,65,US,3406,208,415,193600,🏆 Taste the game before it kicks off. 🌍 Discover the story behind every bite as @Mei brings Spain 🇪🇸 and Argentina 🇦🇷 together in one final Matchup Menu. 🍽️⚽,False,,tiktok,TikTok,94900000,0,462000000,1481,4164,True,,,,dom
7663622615168306462,2026-07-17T18:10:04,61,US,3202,246,786,167400,everyone remembers the @madonna moment that changed their life,False,,tiktok,TikTok,94900000,0,462000000,1481,4164,True,,,,dom
7663589820970716446,2026-07-17T16:02:55,74,US,6433,517,433,254000,"fish & chips, spice bags and football? say less. @Nicolas Nuvan is back with another Local Pitch ⚽",False,,tiktok,TikTok,94900000,0,462000000,1481,4164,True,,,,dom
7663575741371600158,2026-07-17T15:08:09,66,US,12600,42,384,3000000,"who is Josh Groban? like, actually. We’re finding out on Search Files with @Josh Groban and @Track Star 🔎🧔🏻‍♂️🎤  Watch TikTok In The Mix with Jack Coyne, presented by @T-Mobile ",True,,tiktok,TikTok,94900000,0,462000000,1481,4164,True,,,,dom
7663542765527010591,2026-07-17T13:00:17,98,US,3792,149,362,117300,the tournament 🏆🌍⚽️ got everyone obsessed with ranch… so naturally we had @ellie b put it to the test 🏴󠁧󠁢󠁥󠁮󠁧󠁿,False,,tiktok,TikTok,94900000,0,462000000,1481,4164,True,,,,dom
